index,nama produk,harga,toko,asal,rating,terjual,Jabodetabek
69,Kerupuk Seblak kering pedas RIKI,8800,Van Kios,Bandung,4.9,1000,non-jabodetabek
75,seblak ala mamang Rafael pedas mantull,5000,cemilan Bandungstore,Cimahi,5.0,15,non-jabodetabek
76,Seblak Instan Sehati,13000,Official Kartika Sari,Bandung,5.0,500,non-jabodetabek
77,"Paket Happy (Seblak Original, Batagor Kuah, Bacil)",55875,kylafood,Bandung,4.9,500,non-jabodetabek
78,seblak kerupuk bantet pedas 250gram - kerupuk bantet seblak pedas,16000,Jajanan Bandung 17,Bandung,3.8,11,non-jabodetabek
79,Kylafood Seblak Original Isi 10 pcs,172000,kylafood,Bandung,5.0,14,non-jabodetabek
80,kerupuk seblak pedas daun jeruk 1/2 kg,20000,hokinaCemilan,Cimahi,4.9,250,non-jabodetabek
81,kerupuk seblak bintang pedas,15500,keyz shop78,Bandung,4.8,60,non-jabodetabek
82,KRUPUK SEBLAK / KRUPUK BAWANG PEDAS 30 GRAM,2500,temencemalcemil,Jakarta Barat,5.0,8,jabodetabek
83,Krupuk Seblak Kencur 250 gram,12000,Hosana Snack,Bogor,4.9,100,jabodetabek
84,SIOMAY MINI KERING 5 KG Garut campuran bahan baso Aci dan seblak,140999,ArfaOnlineShop,Tangerang,0.0,11,jabodetabek
90,Kerupuk seblak pedas,15000,MACALONI SNACK,Cimahi,5.0,7,non-jabodetabek
91,Kylafood Seblak Original,17200,kylafood,Bandung,4.9,10000,non-jabodetabek
92,Seblak Kering Gurih 65gram - Cikuran 65gr,10965,Lidigeli,Kab. Garut,5.0,100,non-jabodetabek
93,Kerupuk seblak - cemilan murah kaleastores,13500,kaleastores,Kab. Banyuwangi,0.0,0,non-jabodetabek
94,kerupuk seblak pedas 1 kg - 1/2 kg,25500,Bintang Snack & Camilan,Semarang,5.0,100,non-jabodetabek
95,Cuanki tahu Gepeng Geprek isi 20 pcs toping seblak baso Aci baso,8500,Distributor Cuanki dan Seblak,Kab. Bekasi,4.8,90,jabodetabek
96,SEBLAK KERUPUK SIKAYA,11000,sinergi snack,Depok,5.0,100,jabodetabek
97,KERUPUK PEDAS KRIWIL 500gr / KRUPUK SEBLAK SUPER PEDAS,32200,AHR Jaya Snack,Jakarta Timur,5.0,9,jabodetabek
98,Pasar Keripik Cimol Seblak Pedas size Kecil 130g,12500,Pasar Keripik Bandung,Bandung,4.9,500,non-jabodetabek
99,Seblak,12000,anto frozen food,Tangerang,4.9,50,jabodetabek
105,cuanki pangsit segitiga atau cipet isi 40 pcs toping seblak baso aci,13999,CUANKI CULAMETAN,Kab. Garut,4.8,90,non-jabodetabek
106,Sami Raos Cuanki Geprek Instan,18270,Foodstocks,Jakarta Selatan,4.8,50,jabodetabek
107,Pilus Cikur / Toping Baso Aci Seblak - 250gram,9000,TOKO BILQIS OFFICIAL STORE,Kab. Jombang,5.0,7,non-jabodetabek
108,Kakarak - Cireng Kuah Juaranya Aci Goreng Spesial Bandung - 250gr,13292,Kakarak Food Official,Bandung,0.0,1,non-jabodetabek
109,cuanki lidah aci 10 pcs murah toping seblak baso aci,3500,CuankiCulametan,Kab. Garut,5.0,70,non-jabodetabek
110,SEBLAK GEPREK SAMIRAOS / SEBLAK MIE / SEBLAK SOUN / SEBLAK INSTAN,17850,TOBELO SHOP,Tangerang,4.8,100,jabodetabek
111,3 SEBLAK FREE BASO ACI,63000,Sajodo Snack & Food,Tasikmalaya,5.0,28,non-jabodetabek
112,Seblak Cobek Seblak Rafael Seblak Ala Rafael_1616 Seblak Sambel Kencur,8782,NomeL Shop,Surabaya,4.8,30,non-jabodetabek
113,"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14999,aghniya,Tangerang Selatan,4.9,750,jabodetabek
114,siomay mini kering 1kg toping seblak baso aci,25000,CUANKI CULAMETAN,Kab. Garut,5.0,100,non-jabodetabek
125,seblak geprek,18500,Jajanan Hits (JS),Tangerang Selatan,5.0,9,jabodetabek
126,Seblak Bapper,17500,Yokis Store,Bandung,4.9,250,non-jabodetabek
127,Seblak baso aci / Soaci tulang rangu khas Garut Ajib,24000,Cikiku Shop,Tangerang Selatan,5.0,15,jabodetabek
128,Seblak Instan RC Karawang | Seblak Instan Prasmanan Oleh-Oleh Karawang,15500,TOKO KAMI789,Kab. Karawang,0.0,0,non-jabodetabek
129,Seblak Instant Mommy,12200,Jacqkids,Bandung,4.8,500,non-jabodetabek
140,kerupuk seblak pedas daun jeruk 100g,5000,hokinaCemilan,Cimahi,4.8,250,non-jabodetabek
141,Seblak Uleg || Viral,8000,RN FROZEN FOOD,Jakarta Selatan,0.0,11,jabodetabek
142,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek Spesial Paxel,9916,vieka mart official,Tangerang Selatan,5.0,8,jabodetabek
143,KERUPUK ORANGE / KERUPUK MENTAH / KERUPUK SEBLAK / KERUPUK KEMPLANG,5000,aktir_snack,Bandung,0.0,0,non-jabodetabek
144,KERUPUK SNACK SEBLAK ADA 5 VARIAN LEVEL,12500,BoboShop805,Jakarta Utara,5.0,6,jabodetabek
